tld,count,share
.top,"284,855",24.1
.win,"167,052",14.2
.men,"107,413",9.1
.vip,"80,612",6.8
.wang,"70,040",5.9
.loan,"52,452",4.4
.club,"51,776",4.4
.xyz,"51,629",4.4
.bid,"43,747",3.7
.site,"40,850",3.5
