tld,count,share
.online,844575,33.6
.site,"496,709",19.7
.space,"277,109",11.0
.website,"257,000",10.2
.tech,"241,279",9.6
.store,"192,415",7.6
.fun,"95,790",3.8
.press,"71,546",2.8
.host,"40,644",1.6
,,
