tld,count,share
.top,"1,302,609",22.71
.loan,"1,185,782",20.68
.xyz,"739,142",12.89
.xin,"364,178",6.35
.wang,"337,841",5.89
.ltd,"303,563",5.29
.club,"254,668",4.44
.shop,"182,938",3.19
.vip,"173,106",3.02
.win,"124,900",2.18
