tld,count,share
.loan,"543,638",79.2
.vip,"135,304",19.7
.men,"6,384",0.9
.win,"4,779",0.7
.top,"2,527",0.4
.trade,"1,238",0.2
.bid,940,0.1
.club,521,0.1
.xyz,370,0.1
.party,267,0.0
