tld,count,share
.xyz,"212,631",10.6
.club,"201,847",10.1
.online,"133,867",6.7
.life,"67,604",3.4
.today,"52,887",2.6
.solutions,"41,444",2.1
.nyc,"37,934",1.9
.guru,"36,072",1.8
.shop,"34,279",1.7
.live,"33,682",1.7
