tld,count,share
.cloud,"61,973",14.2
.online,"26,296",6.0
.shop,"22,219",5.1
.store,"13,968",3.2
.club,"11,972",2.7
.xyz,"10,861",2.5
.space,"9,250",2.1
.london,"8,300",1.9
.blog,"8,158",1.9
.live,"7,702",1.8
