tld,count,share
.top,"126,631",23.7
.xyz,"55,819",10.4
.online,"45,719",8.6
.club,"35,270",6.6
.site,"24,289",4.5
.website,"23,345",4.4
.men,"22,100",4.1
.space,"19,518",3.7
.loan,"19,354",3.6
.gdn,"18,840",3.5
