tld,count,share
.loan,"349,888",61.6
.win,"57,861",10.2
.bid,"35,312",6.2
.men,"25,734",4.5
.xyz,"18,007",3.2
.online,"17,729",3.1
.webcam,"10,352",1.8
.science,"10,238",1.8
.faith,"8,422",1.5
.top,"8,209",1.4
