tld,count,share
.club,"234,085",8.0
.win,"232,330",8.0
.stream,"230,640",7.9
.bid,"214,492",7.3
.review,"214,035",7.3
.men,"193,316",6.6
.site,"128,199",4.4
.trade,"105,095",3.6
.online,"97,511",3.3
.date,"90,752",3.1
