tld,count,share
.link,"196,971",45.4
.click,"95,170",22.0
.lol,"22,428",5.2
.sexy,"20,209",4.7
.photo,"19,955",4.6
.help,"18,431",4.3
.pics,"9,015",2.1
.audio,"8,064",1.9
.gift,"7,967",1.8
.property,"5,914",1.4
