tld,count,share
.wang,"617,479",92.3
.??? (xn--6qq986b3xl),"25,575",3.8
.?? (xn--czru2d),"15,554",2.3
.?? (xn--hxt814e),"6,220",0.9
.?? (xn--3bst00m),"4,169",0.6
,,
,,
,,
,,
,,
