tld,count,share
.ltd,"353,861",9.4
.life,"186,789",5.0
.live,"173,595",4.6
.today,"103,363",2.7
.world,"93,517",2.5
.solutions,"85,171",2.3
.rocks,"84,707",2.3
.email,"81,024",2.2
.company,"65,215",1.7
.news,"64,036",1.7
