tld,count,share
.vip,"883,865",61.7
.work,"267,643",18.7
.london,"86,618",6.0
.bayern,"33,305",2.3
.wedding,"22,905",1.6
.boston,"21,786",1.5
.nrw,"19,449",1.4
.fit,"17,436",1.2
.miami,"15,150",1.1
.fashion,"13,242",0.9
