tld,count,share
.loan,"2,667,641",46.6
.win,"667,247",11.7
.men,"538,054",9.4
.bid,"386,127",6.7
.stream,"248,194",4.3
.review,"237,153",4.1
.trade,"168,179",2.9
.download,"139,745",2.4
.date,"132,325",2.3
.party,"125,789",2.2
